Station Name,Call Sign,County,ST,Latitude (DD),Longitude (DD),Elev (m),Sensor_Height (m),Temp_Sensor (m)
"Kitts_Hummock,_DE-NERR",DSJR,Kent,DE,39.088200,-75.437300,2.44,5.00,3.00
"West_Grove,_PA-SECCRA",DSCR,Chester,PA,39.864444,-75.842222,197.51,3.00,2.00
"Kennett_Square,_PA-Longwood",DLWG,Chester,PA,39.871667,-75.682500,140.21,3.00,2.00
"Blackbird,_DE-NERR",DBKB,New Castle,DE,39.391667,-75.628056,12.50,6.00,2.00
"Bethany_Beach,_DE-Boardwalk",DBBB,Sussex,DE,38.538889,-75.054167,3.35,4.50,3.00
"Bethany_Beach,_DE-NGTS",DBNG,Sussex,DE,38.546400,-75.062700,2.13,3.00,2.00
"Wilmington,_DE-NSWMC",DCHI,New Castle,DE,39.732778,-75.518333,7.62,3.70,3.00
"Fair_Hill,_MD-NRMA",DFHM,Cecil,MD,39.709900,-75.838600,45.72,3.50,2.00
"Sandtown,_DE-CSWMC",DSND,Kent,DE,39.037778,-75.729722,19.51,3.70,3.00
"Jones_Crossroads,_DE-SSWMC",DJCR,Sussex,DE,38.594722,-75.436667,18.59,3.70,3.00
"Newark,_DE-Ag_Farm",DAGF,New Castle,DE,39.669500,-75.750300,32.31,3.00,2.00
"Georgetown,_DE-REC",DGES,Sussex,DE,38.636100,-75.455000,13.72,10.00,2.00
"Harbeson,_DE-REC",DWAR,Sussex,DE,38.679167,-75.247222,10.06,3.00,2.00
"Laurel,_DE-Airport",DLAU,Sussex,DE,38.541500,-75.592700,8.84,3.00,2.00
"Townsend,_DE-REC",DTOW,New Castle,DE,39.391100,-75.748200,21.03,3.00,2.00
"Harrington,_DE-Raceway",DHAR,Kent,DE,38.911300,-75.576700,16.76,3.00,2.00
"Dover,_DE-DSFS",DDFS,Kent,DE,39.169700,-75.593000,15.54,3.00,2.00
"Bridgeville,_DE-SPS",DBRG,Sussex,DE,38.720600,-75.588600,10.97,3.00,2.00
"Glasgow,_DE-SPB",DGLW,New Castle,DE,39.605900,-75.726900,19.20,3.00,2.00
"Hockessin,_DE-VFC",DHOC,New Castle,DE,39.788700,-75.700800,77.11,3.00,2.00
"Milford,_DE-MTS",DMIL,Sussex,DE,38.881667,-75.439722,12.19,3.70,3.00
"Stockley,_DE-DHSS",DSTK,Sussex,DE,38.628333,-75.319444,9.45,3.00,2.00
"Ellendale,_DE-DHSS",DELN,Sussex,DE,38.808333,-75.427222,14.94,3.00,2.00
"Kennett_Square,_PA-Bucktoe",DBUK1,Chester,PA,39.820000,-75.727222,105.77,3.00,2.00
"Smyrna,_DE-DASEF",DSMY,Kent,DE,39.277222,-75.581111,6.40,3.00,2.00
"Indian_River_Inlet,_DE-LSS",DIRL,Sussex,DE,38.633056,-75.066389,4.57,5.40,4.00
"Rehoboth_Beach,_DE-Boardwalk",DRHB,Sussex,DE,38.720833,-75.076667,3.66,3.80,3.00
"Hockessin,_DE-Mt._Cuba",DMTC,New Castle,DE,39.786944,-75.646944,89.61,3.00,2.00
"Seaford,_DE-Oak_Grove",DSEA,Sussex,DE,38.652500,-75.703611,13.11,3.00,2.00
"Greenwood,_DE-Adamsville",DADV,Kent,DE,38.831389,-75.675833,13.11,3.00,2.00
